Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit (seconds),Correct answer(s)
คำสั่งใดใช้แสดงตำแหน่งโฟลเดอร์ปัจจุบันที่กำลังทำงานอยู่?,ls,cd,pwd,mkdir,20,3
คำสั่ง ls -la ทำงานอย่างไร?,ลบไฟล์ทั้งหมด,แสดงไฟล์ทั้งหมดรวมไฟล์ซ่อน,สร้างโฟลเดอร์ใหม่,เปลี่ยนตำแหน่งทำงาน,20,2
ข้อใดเป็นวิธีถอยกลับขึ้น 1 ระดับโฟลเดอร์ที่ถูกต้อง?,cd..,cd ..,cd/,cd ~,20,2
หากพิมพ์ mkdir project homework จะเกิดอะไรขึ้น?,สร้าง 1 โฟลเดอร์ชื่อ project homework,ระบบฟ้อง error,สร้าง 2 โฟลเดอร์แยกกัน,ลบโฟลเดอร์เดิม,30,3
คำสั่ง touch สร้างอะไร?,โฟลเดอร์เปล่า,ไฟล์เปล่าขนาด 0 ไบต์,สำเนาไฟล์,ลิงก์ไฟล์,20,2
ปุ่มลัดใดใช้บันทึกไฟล์ใน nano?,Ctrl+S แล้ว Enter,Ctrl+O แล้ว Enter,Ctrl+X แล้ว Enter,Ctrl+C แล้ว Enter,30,2
คำสั่งใดใช้เปิดอ่านเนื้อหาในไฟล์โดยไม่เข้าสู่โหมดแก้ไข?,nano,vim,cat,touch,20,3
ข้อใดเป็นจริงเกี่ยวกับคำสั่ง rm บนลินุกซ์?,ไฟล์จะย้ายไปถังขยะก่อน,ไฟล์จะถูกลบถาวรทันที,ไฟล์จะถูกซ่อนไว้ 30 วัน,ระบบจะขอยืนยันเสมอ,30,2
คำสั่งใดใช้ตรวจสอบ IP Address ของเครื่อง?,ping localhost,ip a,netstat -a,ifconfig -v,20,2
คำสั่งหรือปุ่มลัดใดใช้เคลียร์หน้าจอเทอร์มินัล?,exit,reset,clear หรือ Ctrl+L,rm -rf,20,3
